time_s,position_um,time_s_filter,position_um_filter
18.945,2.790795162610796,18.943559660019332,2.789638032686183
18.993,2.789270430967972,18.993401111474057,2.7896095069554345
19.043,2.7866327484061553,19.043505067015083,2.789423488291166
19.093,2.790348911358668,19.09331840470714,2.789404776002255
19.143,2.787407550174918,19.143366459627046,2.7892791428885664
19.193,2.790073173149896,19.193273291925184,2.7890777519125147
19.243,2.79066343542423,19.24315070284378,2.789048985729442
19.292,2.790138487925682,19.29323504413178,2.789146588675077
19.344,2.788977903357606,19.343041843739496,2.7891636092624275
19.393,2.787882960648733,19.39306211180096,2.789494294319005
19.443,2.790245088397523,19.443156260215474,2.789824473945829
19.495,2.789083324587953,19.493222294867312,2.7900094993698548
19.542,2.788567768421857,19.543232428898047,2.7901438819413387
19.594,2.790001478764555,19.593155606407034,2.79004138430168
19.643,2.790909108789979,19.643137953579316,2.790077702803999
19.693,2.7918561777743336,19.693036613272024,2.790088463744529
19.743,2.791112023604987,19.742941811049075,2.7898130761977513
19.792,2.789793653865924,19.792853546910457,2.789895794734994
19.844,2.7919998546098,19.84268159529229,2.790099133255887
19.892,2.789090214096022,19.892603138280187,2.790297153673316
19.942,2.786893932659177,19.942506374631936,2.790125155988419
19.993,2.789999119041904,19.99238803530536,2.7900097587469905
20.042,2.7894612048065563,20.042512258907845,2.7897063503395128
20.093,2.789180834844502,20.092664269368775,2.789456749095249
20.142,2.790494206627258,20.142921542987605,2.78917515080773
20.193,2.7870823777827396,20.19308859104253,2.7888571185254447
20.243,2.793500034551816,20.243168682575703,2.7889161865506003
20.293,2.790420039110538,20.29319614252994,2.7888057508099506
20.343,2.788273868606884,20.343223602484173,2.788841952944164
20.394,2.785823531905814,20.393449820202378,2.7891992166430772
20.444,2.78797045503471,20.4433870545927,2.789265340032872
20.495,2.788706315678017,20.4934328211831,2.789337520457584
20.545,2.790122581887267,20.543496894409635,2.789551571663588
20.592,2.788351486806214,20.59338051650836,2.7896178727530874
20.642,2.789870082129928,20.64320496894379,2.789771754940878
20.692,2.792439440777827,20.69305393919551,2.790243205447551
20.743,2.789720286051593,20.743032690421398,2.790167857779333
20.794,2.793086360471385,20.79299509643644,2.790849434168919
20.843,2.791364700865397,20.84294115724062,2.7914764955268603
20.892,2.790253016901827,20.89287087283395,2.7919237602497278
20.944,2.7926100229026,20.942930369401452,2.7919050811239634
20.992,2.7902567114642314,20.99292415822133,2.7919192039989373
21.042,2.791040334693059,21.043091860084683,2.7919232413042345
21.093,2.7934518375035746,21.09324125531188,2.791917965791383
21.145,2.7929862906462115,21.143198430859442,2.7920034204970774
21.194,2.790298322676133,21.19312781954856,2.7916831199682677
21.243,2.79461367617487,21.24308205295816,2.7916460599043584
21.293,2.791586391219258,21.293005230467156,2.7912577441470408
21.343,2.789939022277155,21.34307780320335,2.791153688862666
21.393,2.789165390269251,21.39301405688102,2.791032425198699
21.442,2.7911746820944185,21.442925792742408,2.7907762107099594
21.493,2.7910983537206824,21.492903236351427,2.79066396990432
21.542,2.790600231746407,21.542803530565227,2.7904424790150557
21.593,2.791221709122099,21.592648251062126,2.7901045407326928
21.643,2.786095984384894,21.6424717227849,2.789848797340711
21.693,2.791058519857598,21.69254462242531,2.7898015354812324
21.742,2.789301799127625,21.742584504739792,2.789467131468424
21.793,2.791042139537369,21.792563582869896,2.789646070234012
21.842,2.790557247510529,21.842541026478926,2.7894715864320547
21.893,2.7891705654817014,21.89246420398791,2.789302701482399
21.942,2.789094368244062,21.94236744033966,2.7890391058736133
21.993,2.788965465281434,21.992303367113113,2.78906994478615
22.042,2.787345101993808,22.042324615887217,2.7890105180827063
22.092,2.788646907047133,22.092340961098074,2.7890227625262773
22.143,2.790443169793248,22.142408303366793,2.7892327342338725
22.192,2.788096306890006,22.192474011114417,2.7889114713718146
22.242,2.789587581066044,22.242485452762015,2.7889440886734347
22.292,2.787369427680491,22.292498528930693,2.789069375922239
22.342,2.790516861877731,22.34251323962046,2.7893169861197213
22.393,2.789605356076209,22.3924736842102,2.7894714948244754
22.444,2.790346791814047,22.442578620463877,2.789313337449209
22.493,2.788529731921038,22.49259496567472,2.789496048143922
22.543,2.7905009784591184,22.542668846027777,2.789753018101746
22.592,2.790093047033035,22.592657404380184,2.789670140039964
22.642,2.788710495716569,22.642672441974167,2.78985964886196
22.692,2.7907716042617525,22.69260542660967,2.7902556867445667
22.743,2.791126589706003,22.74249068322948,2.7903837581123674
22.792,2.788570384145057,22.79238084341255,2.7904241656518725
22.843,2.7885225834512046,22.842272638116693,2.7903561292668777
22.893,2.789923504656747,22.89216279829976,2.7904039757041943
22.942,2.794396206706018,22.942194181104597,2.7903426173684465
22.992,2.79088240891565,22.99231415495226,2.790638077218719
23.042,2.7897439308648,23.04238313174206,2.7905005895407657
23.092,2.79278236197117,23.092404380516168,2.7905727521921557
23.141,2.79013784812924,23.142433801895706,2.7905719618764864
23.193,2.788557869788242,23.192381170316754,2.790491586344337
23.243,2.789021997579176,23.24238934292218,2.7903850480568337
23.293,2.791245399183928,23.2925142203331,2.7905087946851994
23.343,2.7900373802219964,23.34247008826379,2.790729682756498
23.393,2.791216840981997,23.392549199084318,2.790809589231457
23.442,2.79248752802309,23.442556064072875,2.79078061391626
23.492,2.788141489588795,23.49249395227164,2.790879692426922
23.542,2.7917095930544034,23.542362863680598,2.790969523172195
23.593,2.79078603975087,23.592193854200374,2.7910974350719773
23.642,2.791704518858378,23.642070611310537,2.791326466979576
23.693,2.791387826910515,23.692008172605078,2.7913731493416405
23.742,2.794473690275736,23.742059169662937,2.7913029519326105
23.791,2.793162172286129,23.79211507028406,2.7913611326547256
23.842,2.788827294198334,23.842179143510595,2.791304345458724
23.891,2.788554435039249,23.892254658384743,2.7913139341909257
23.942,2.7898468749250056,23.94228898332753,2.79150454996805
23.992,2.7935170614504714,23.992282118338974,2.791481941120195
24.043,2.7918043612203074,24.04234259561913,2.7910670413705367
24.094,2.78981568009505,24.092324288982976,2.7909762705026604
24.144,2.791516600544809,24.14240438051615,2.7910271589869993
24.192,2.792100153074277,24.192436744033646,2.790983695068805
24.242,2.79185046449838,24.242564236678295,2.790660211116832
